"","count","mean","sd","min","X25","X50","X75","max"
"CN-Python-0.6",30,229.689299669133,13.0346977660368,214.820913817714,221.891139715963,225.946863735011,231.994329447168,270.248283532735
"CN-Python-0.8",30,232.142140565108,13.1497816124953,216.161424550972,224.554773152312,229.245983812248,236.80050761964,287.656380979159
"CN-Python-1",30,227.941524001227,7.93373824309359,216.663195391512,222.029196620924,227.179737989373,232.474038570934,248.258087725856
"CN-E-Python-0.6",29,237.309535539951,43.9011170814915,215.004641362836,223.473800344579,230.101556798311,236.389429631964,460.991701479378
"CN-E-Python-0.8",30,232.604592352144,17.0200816921683,211.767264990657,223.174623122526,230.286000405486,236.47400168007,305.371540055687
"CN-E-Python-1",30,230.001865823982,10.9449645581891,214.78001475865,224.907035985583,229.529920465407,231.474335076534,268.407078369021
"CN-C++-0.6",30,5.96231212934809,0.488844232042415,5.63045601053326,5.73649724356241,5.82824554655205,5.92040163767152,7.72083396650566
"CN-C++-0.8",30,5.86958397301015,0.158177549441359,5.60130034038746,5.7929784369845,5.83394745308702,5.90332355588427,6.24475841544676
"CN-C++-1",30,5.91119954638834,0.17100359038743,5.62540437172492,5.81238959693409,5.88247024115201,5.94941560747372,6.32088645352296
"CN-E-C++-0.6",30,4.01155265538419,0.759321504178592,3.59430086220326,3.73180520905145,3.82589150804544,3.90477350194562,6.78806682312692
"CN-E-C++-0.8",30,6.30406749454596,0.131473015423254,6.05377881077913,6.22286792128102,6.30486272856014,6.37336374670673,6.75810245139632
"CN-E-C++-1",30,6.30261175222301,0.0954399873749025,6.10004985265524,6.22824346676622,6.30901227554276,6.36652740808078,6.51436079097148
"CN-JavaScript-0.6",30,1.30436472336425,0.148819059096534,1.15918838633291,1.18449728972522,1.28257053896918,1.36109089068641,1.79280683133985
"CN-JavaScript-0.8",30,1.30252229015449,0.11579655193495,1.16495691509327,1.19693153611389,1.30419778379762,1.36740206589289,1.57938247454418
"CN-JavaScript-1",30,1.43867782161549,0.546573028561271,1.16615615290574,1.23612218105713,1.32361991209502,1.3758185465278,4.08456564667372
"CN-E-JavaScript-0.6",30,3.37053656456825,0.118990293748775,3.21648342527251,3.25549809209679,3.36488866094273,3.43924855012756,3.66439021371815
"CN-E-JavaScript-0.8",30,3.39741242365309,0.29185880532548,3.14789584753761,3.25303714853827,3.31340613728282,3.46371217973454,4.78064155369362
"CN-E-JavaScript-1",30,3.40761785508589,0.169866000270853,3.21644392854341,3.27313834834217,3.36854033111768,3.46564977121652,3.93041516279638
