"","count","mean","sd","min","X25","X50","X75","max"
"TS-Python-0.6",30,367.505100279731,133.775023463723,0.122063437243221,421.848425917564,426.050467426437,429.231774371842,451.10138025247
"TS-Python-0.8",30,401.551560883857,64.1436820862262,283.153262174751,424.884318195614,427.803362754106,431.572780699293,476.746947738344
"TS-Python-1",30,397.75663538861,63.0058497908365,283.656915891905,423.840950200411,426.989103218668,430.511413127974,472.598932196411
"TS-E-Python-0.6",30,432.254213862244,9.27269153762701,423.272259468526,427.007007675252,428.958073453633,433.195354929548,462.22089575649
"TS-E-Python-0.8",30,434.190542716158,10.1483026444531,424.278068592512,427.624892621356,430.597734148998,434.583514021312,460.314830767969
"TS-E-Python-1",30,435.42603766575,34.5747594138483,423.624326195459,425.430408875813,427.802724010325,431.313510497414,615.710834460932
"TS-C++-0.6",30,41.4358071959739,0.57853072249974,40.3947259280672,41.1023499621421,41.4210155123818,41.6654540562293,43.2096432141735
"TS-C++-0.8",30,35.5588565478814,13.0833486414212,0.131204653546098,41.2226220817476,41.4839703790858,41.8332347235751,43.55162380717
"TS-C++-1",30,35.6944791516003,13.115911815305,0.129792826660985,41.0413657025666,41.743651599904,41.9861510951093,43.4554671150775
"TS-E-C++-0.6",30,0.147000821419544,0.0375718125163968,0.123140854836583,0.133788578343822,0.138051692298781,0.147446692113961,0.33756182636949
"TS-E-C++-0.8",30,0.162425526422318,0.0955592506953056,0.117452915907112,0.131946387300188,0.138034336125075,0.145901076854234,0.603765937473862
"TS-E-C++-1",30,0.15385440823643,0.0878495274517021,0.118251048283392,0.129480681225613,0.136731288438801,0.142732009694464,0.611353933536328
"TS-JavaScript-0.6",30,1.22248120976759,0.578065710214836,0.125807928174639,1.17278571785639,1.19716548130955,1.28951104695367,3.50188427908457
"TS-JavaScript-0.8",30,1.16177493574598,0.369878955987255,0.128808212911388,1.16623354597455,1.24281176632211,1.29090098157772,1.54514397818212
"TS-JavaScript-1",30,1.14704560956553,0.367547166961253,0.127260574826413,1.16118514761808,1.22425043962819,1.24904698540778,1.64171817746344
"TS-E-JavaScript-0.6",30,1.25651756669855,0.145195817885942,1.0938425300446,1.15595188411492,1.19655509114504,1.31041446767045,1.65674435370912
"TS-E-JavaScript-0.8",30,1.27358372346901,0.131209934826236,1.08064479713302,1.16980330241131,1.22970716555786,1.31913548483525,1.56786351985282
"TS-E-JavaScript-1",30,1.28902673922625,0.154897061004979,1.09165571872818,1.16023506117562,1.23342410899847,1.34990032228865,1.67205036279984
